iter	MultiClass
0	2.812014953
1	2.75112664
2	2.697072068
3	2.649190868
4	2.585896978
5	2.545339374
6	2.511069387
7	2.473112242
8	2.442999675
9	2.416655946
10	2.38104798
11	2.351898452
12	2.319756083
13	2.297345595
14	2.271902538
15	2.24734438
16	2.220921046
17	2.202149894
18	2.186094284
19	2.175166035
20	2.158258962
21	2.136623395
22	2.120839011
23	2.104531643
24	2.088958892
25	2.07660371
26	2.063101462
27	2.052626372
28	2.03539596
29	2.022522898
30	2.0032838
31	1.99259416
32	1.979138691
33	1.962623594
34	1.951374176
35	1.949018356
36	1.933982942
37	1.923733986
38	1.909538859
39	1.900504039
40	1.890525426
41	1.880930276
42	1.873156717
43	1.865552662
44	1.855948104
45	1.847115868
46	1.840148555
47	1.834511741
48	1.8272303
49	1.819007075
50	1.810944305
51	1.808376141
52	1.800186837
53	1.7935664
54	1.786119837
55	1.778866906
56	1.772686185
57	1.764940325
58	1.758909319
59	1.753184511
60	1.74413656
61	1.736555415
62	1.728534409
63	1.723013174
64	1.716971468
65	1.709693565
66	1.701982481
67	1.695851106
68	1.689741849
69	1.683826932
70	1.678823954
71	1.668719742
72	1.661868533
73	1.656890861
74	1.650703885
75	1.643258745
76	1.637541723
77	1.629653754
78	1.6221223
79	1.61450023
80	1.608599633
81	1.604130188
82	1.598486634
83	1.593848213
84	1.588191098
85	1.583088084
86	1.57549201
87	1.572004835
88	1.563739226
89	1.558302821
90	1.554147354
91	1.545905213
92	1.540353425
93	1.535226449
94	1.528708781
95	1.524370051
96	1.516393484
97	1.511218659
98	1.506275449
99	1.499619201
100	1.49423227
101	1.488334767
102	1.484248208
103	1.477738326
104	1.468218306
105	1.463150396
106	1.454131234
107	1.448884317
108	1.439631715
109	1.433753966
110	1.427493209
111	1.422158943
112	1.416939578
113	1.410012965
114	1.403387807
115	1.399649302
116	1.392622876
117	1.387712101
118	1.382933348
119	1.376286467
120	1.370671473
121	1.365576841
122	1.361421094
123	1.355572913
124	1.352199727
125	1.347174612
126	1.343664489
127	1.338650576
128	1.334606327
