iter	Passed	Remaining
0	4	4960
1	10	5111
2	12	4290
3	15	3814
4	17	3493
5	19	3256
6	21	3084
7	23	2957
8	26	2870
9	28	2789
10	30	2716
11	32	2651
12	34	2619
13	36	2582
14	37	2463
15	38	2345
16	40	2334
17	42	2326
18	44	2278
19	46	2262
20	48	2257
21	50	2248
22	52	2249
23	56	2288
24	58	2288
25	59	2232
26	61	2223
27	63	2189
28	65	2178
29	67	2182
30	69	2173
31	71	2163
32	73	2155
33	75	2154
34	77	2150
35	78	2110
36	80	2101
37	83	2102
38	85	2099
39	87	2095
40	89	2092
41	91	2088
42	93	2081
43	95	2075
44	97	2068
45	99	2063
46	101	2057
47	103	2051
48	105	2046
49	107	2041
50	109	2034
51	110	2013
52	112	2010
53	114	2008
54	116	2006
55	118	2002
56	120	1998
57	122	1996
58	124	1991
59	126	1986
60	128	1985
61	131	1983
62	133	1979
63	135	1975
64	137	1974
65	139	1971
66	141	1968
67	143	1963
68	145	1960
69	147	1959
70	149	1956
71	151	1952
72	153	1948
73	155	1945
74	157	1942
75	159	1939
76	161	1935
77	163	1931
78	165	1929
79	167	1926
80	169	1923
81	171	1920
82	173	1917
83	175	1914
84	177	1911
85	179	1908
86	181	1907
87	183	1904
88	185	1901
89	187	1898
90	189	1897
91	191	1894
92	193	1891
93	196	1889
94	198	1888
95	200	1885
96	202	1882
97	204	1882
98	206	1878
99	208	1875
100	210	1872
101	212	1870
102	214	1867
103	216	1863
104	218	1860
105	220	1858
106	222	1855
107	224	1852
108	226	1848
109	228	1847
110	230	1845
111	232	1842
112	234	1840
113	236	1837
114	238	1835
115	240	1832
116	242	1829
117	244	1826
118	246	1824
119	248	1821
120	250	1818
121	252	1817
122	254	1814
123	256	1811
124	258	1809
125	260	1806
126	262	1804
127	264	1801
128	266	1799
129	268	1796
130	270	1794
131	272	1791
132	274	1788
133	276	1786
134	278	1784
135	280	1782
136	282	1779
137	284	1777
138	286	1775
139	288	1773
140	290	1770
141	292	1769
142	294	1766
143	296	1764
144	299	1763
145	301	1762
146	303	1760
147	305	1758
148	307	1755
