이벤트명,대상,혜택,참여 방법,기간,분류,활성화,이미지
현대 Spring Go! 주유 걱정 없이 떠나봄,출고/시승 고객,주유권 또는 충전 크레딧 제공,차량 구매 또는 시승,2025-04-01 ~ 2025-05-15,유류비,True,images/event/event3.jpg
현대카드 제휴 이벤트,현대카드로 차량 구매한 고객,슈퍼콘서트 티켓 2매 증정,차량 구매 시 현대카드 사용,2025-04-01 ~ 2025-05-15,제휴마케팅,True,images/event/event3.jpg
현대 Spring Go! 캠핑 페스타,SUV 차량 구매 고객,100만원 상당 캠핑용품 세트 증정,SUV 차량 계약 및 출고 시 자동 응모,2025-04-01 ~ 2025-05-15,라이프스타일,True,images/event/event6.png
현대 봄맞이 시승 이벤트,시승 고객,주유 상품권 제공,전국 전시장에서 시승 예약 후 참여,2025-04-01 ~ 2025-05-15,시승,True,images/event/event7.png
현대카 클럽 프로그램,50개월 이상 이용 고객,중고차 시세 보상 + 신차 구매 5% 지원,기존 차량 반납 후 신차 구매,2025-04-01 ~ 2025-05-15,장기보상,True,images/event/event4.png
유류비 지원 캠페인,전 고객,주유권 또는 충전 크레딧 제공,차량 구매 또는 시승 시 자동 적용,2025-05-16 ~ 2025-06-15,유류비,True,
캠핑 페스타 시즌2,SUV 차량 구매 고객,캠핑용품 증정,SUV 구매 후 자동 적용,2025-05-16 ~ 2025-06-15,라이프스타일,True,
시승 이벤트 리턴즈,시승 고객,주유권 지급,시승 후 자동 지급,2025-05-16 ~ 2025-06-15,시승,True,
브랜드 경험 페스티벌,전 고객,콘서트 티켓 등 브랜드 체험 제공,차량 구매 또는 캠페인 응모,2025-05-16 ~ 2025-06-15,제휴마케팅,True,
현대카 클럽 시즌2,장기 이용 고객,신차 구매 시 5% 지원,기존 차량 반납 후 신차 구매 시,2025-05-16 ~ 2025-06-15,장기보상,True,
신년 맞이 특별 프로모션,전 고객,주유권 최대 20만원 지원,신년 차량 구매 시 자동 적용,2025-01-15 ~ 2025-03-15,유류비,False,
겨울철 안전 점검 캠페인,장기 고객,무상 점검 + 배터리 할인,서비스센터 방문 시 적용,2025-01-15 ~ 2025-03-15,장기보상,False,
설날 귀성길 지원 이벤트,출고 고객,하이패스 + 유류비 지원,설 연휴 차량 구매 시,2025-01-15 ~ 2025-03-15,유류비,False,
겨울 드라이빙 체험 시승회,시승 고객,시승 후 커피 기프티콘 지급,전시장 시승 예약 후 참여,2025-01-15 ~ 2025-03-15,시승,False,
브랜드 팬 감사 프로모션,현대카드 고객,현대 굿즈 패키지 증정,현대카드 고객 대상 추첨,2025-01-15 ~ 2025-03-15,제휴마케팅,False,
방문상담 이벤트,모든 회원,방문상담 시 차량용 방향제 제공,방문시 ,2025-04-10 ~ 2025-05-10,유류비,True,images/event/event8.png
